seq,t_send_ns,t_recv_ns,rtt_us
508,22127777251049,22127887679701,110428
509,22127826835529,22127887726871,60891
510,22127877053539,22127888090161,11036
511,22127926870790,22127933914819,7044
512,22127976677271,22127984158627,7481
513,22128026709465,22128033945158,7235
514,22128076656394,22128084332493,7676
515,22128126817107,22128134212353,7395
516,22128177110681,22128185327953,8217
517,22128226670640,22128234602871,7932
518,22128277230562,22128285386359,8155
519,22128326664726,22128333938667,7273
520,22128376941907,22128384686168,7744
521,22128426906328,22128434008116,7101
522,22128476688261,22128485315651,8627
523,22128527046236,22128534169681,7123
524,22128577117627,22128585826206,8708
525,22128626745987,22128633819368,7073
526,22128677350776,22128685028993,7678
527,22128726913522,22128733766502,6852
528,22128776954520,22128784722797,7768
529,22128827220431,22128833727663,6507
530,22128877116842,22128885081788,7964
531,22128927039204,22128931687352,4648
532,22128977163452,22128986667656,9504
533,22129026999586,22129035226807,8227
534,22129077128793,22129085619076,8490
535,22129127300772,22129135219166,7918
536,22129177171081,22129185053212,7882
537,22129227230944,22129234565158,7334
538,22129277229023,22129284724690,7495
539,22129326961217,22129334024466,7063
540,22129377056068,22129384689353,7633
541,22129426770824,22129434725459,7954
542,22129476953060,22129481735783,4782
543,22129526859948,22129536449507,9589
544,22129576842972,22129584785632,7942
545,22129626905040,22129633230928,6325
546,22129677306844,22129685094647,7787
547,22129726684205,22129733804828,7120
548,22129776671498,22129784972710,8301
549,22129826812866,22129833732114,6919
550,22129876826931,22129881513474,4686
551,22129927227857,22129935605153,8377
552,22129976929839,22129985684577,8754
553,22130026762976,22130034011591,7248
554,22130076759559,22130081586968,4827
555,22130126763136,22130133837602,7074
556,22130177239113,22130185357563,8118
557,22130226681983,22130234093515,7411
558,22130277310762,22130284365380,7054
559,22130326775938,22130332907550,6131
560,22130376673475,22130384591502,7918
561,22130426765206,22130434203196,7437
562,22130476957285,22130481927490,4970
563,22130526821522,22130533937565,7116
564,22130576629404,22130584207207,7577
565,22130627365841,22130636226349,8860
566,22130676815809,22130684821302,8005
567,22130726882885,22130733974689,7091
568,22130777363511,22130785151685,7788
569,22130826855442,22130833742127,6886
570,22130877258412,22130887614296,10355
571,22130927018490,22130934082171,7063
572,22130977081255,22130985624193,8542
573,22131027002979,22131033981958,6978
574,22131076795475,22131081452433,4656
575,22131127000471,22131132841036,5840
576,22131177056320,22131185209245,8152
577,22131227022203,22131233980194,6957
578,22131277132281,22131285220659,8088
579,22131327414567,22131335397813,7983
580,22131377152898,22131385056544,7903
581,22131427359841,22131435389276,8029
582,22131476936548,22131481421006,4484
583,22131526776254,22131533984169,7207
584,22131576939044,22131585369741,8430
585,22131627097903,22131633714719,6616
586,22131676899644,22131684096752,7197
587,22131726833484,22131733691238,6857
588,22131777199686,22131784694905,7495
589,22131826841567,22131834425397,7583
590,22131877138179,22131883894148,6755
591,22131926835276,22131933080113,6244
592,22131976695130,22131984817946,8122
593,22132026643949,22132033821351,7177
594,22132076937889,22132081721956,4784
595,22132126862560,22132133789479,6926
596,22132177167950,22132185989202,8821
597,22132226664488,22132233858992,7194
598,22132277015546,22132285069800,8054
599,22132326893538,22132334087326,7193
600,22132377186962,22132385359202,8172
601,22132427239374,22132435007926,7768
602,22132476668956,22132484991511,8322
603,22132526680953,22132531653864,4972
604,22132577077122,22132584915477,7838
605,22132626654723,22132633941596,7286
606,22132677039938,22132685278466,8238
607,22132726721804,22132734789060,8067
608,22132776965961,22132784744751,7778
609,22132826851212,22132833957339,7106
610,22132877154091,22132884555543,7401
611,22132927158969,22132935326853,8167
612,22132976870064,22132985023958,8153
613,22133027183536,22133035675648,8492
614,22133077062922,22133085400285,8337
615,22133127160270,22133133937849,6777
616,22133177043846,22133184455471,7411
617,22133226651465,22133233894278,7242
618,22133277032790,22133285379607,8346
619,22133327081897,22133333772043,6690
620,22133377191532,22133383779452,6587
621,22133427183925,22133434190854,7006
622,22133476746670,22133482099295,5352
623,22133526655017,22133533930031,7275
624,22133576668553,22133584988852,8320
625,22133626850748,22133634006949,7156
