phase,seq,flag,min_mm,local_v,local_w,edge_v,edge_w,t_send_s,rtt_ms,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,ok
paced,242,0,222,220,0,150,1166,34.462739,,,,,,,,,0
paced,243,0,226,220,0,150,-1732,34.664400,,,,,,,,,0
paced,244,0,800,220,0,150,-1780,34.867499,,,,,,,,,0
paced,245,0,447,220,0,150,1254,35.070435,,,,,,,,,0
paced,246,0,517,220,0,150,200,35.273586,,,,,,,,,0
paced,247,0,630,220,0,150,1713,35.476950,,,,,,,,,0
paced,248,0,307,220,0,150,-1407,35.692675,,,,,,,,,0
paced,249,0,663,220,0,150,1365,35.893490,,,,,,,,,0
paced,250,0,485,220,0,150,-1505,36.095622,3.839,150,-1505,0,0,0,2,17,1
paced,251,0,671,220,0,150,904,36.099554,,,,,,,,,0
paced,252,0,327,220,0,150,-1085,36.314705,,,,,,,,,0
paced,253,0,303,220,0,150,-1241,36.518216,2.108,150,-1241,0,1,0,2,17,1
paced,254,0,477,220,0,150,-569,36.520374,2.361,150,-569,0,0,0,2,17,1
paced,255,0,259,220,0,150,1085,36.522780,,,,,,,,,0
paced,256,0,676,220,0,150,1598,36.738758,,,,,,,,,0
paced,257,0,766,220,0,150,-618,36.941373,2.395,150,-618,0,0,0,2,17,1
paced,258,0,279,220,0,150,-974,36.943827,,,,,,,,,0
paced,259,0,295,220,0,150,414,37.160011,,,,,,,,,0
paced,260,0,182,220,0,150,1373,37.362084,,,,,,,,,0
paced,261,0,473,220,0,150,1542,37.564837,,,,,,,,,0
paced,262,0,788,220,0,150,1472,37.768380,,,,,,,,,0
paced,263,0,716,220,0,150,1623,37.984458,,,,,,,,,0
paced,264,0,360,220,0,150,-1091,38.187380,,,,,,,,,0
paced,265,0,456,220,0,150,-48,38.390342,2.316,150,-48,0,0,0,2,17,1
paced,266,0,700,220,0,150,-1174,38.392696,,,,,,,,,0
paced,267,0,199,220,0,150,1107,38.608295,1.904,150,1107,0,2,0,2,17,1
paced,268,0,403,220,0,150,-786,38.610226,,,,,,,,,0
paced,269,0,215,220,0,150,973,38.812669,,,,,,,,,0
paced,270,0,607,220,0,150,1490,39.016765,,,,,,,,,0
paced,271,0,590,220,0,150,429,39.218312,2.567,150,429,0,0,0,2,17,1
paced,272,0,406,220,0,150,397,39.220951,2.850,150,397,0,0,0,2,17,1
paced,273,0,599,220,0,150,1666,39.223872,,,,,,,,,0
paced,274,0,700,220,0,150,36,39.433951,,,,,,,,,0
paced,275,0,161,220,0,150,-200,39.635919,3.843,150,-200,0,2,0,2,17,1
paced,276,0,496,220,0,150,-1118,39.639862,2.807,150,-1118,0,0,0,2,17,1
paced,277,0,414,220,0,150,169,39.642732,,,,,,,,,0
paced,278,0,174,220,0,150,1428,39.854208,2.935,150,1428,0,2,0,2,17,1
paced,279,0,576,220,0,150,517,39.857222,2.400,150,517,0,0,0,2,17,1
paced,280,0,169,220,0,150,-1565,39.859674,,,,,,,,,0
paced,281,0,513,220,0,150,555,40.073180,2.738,150,555,0,0,0,2,17,1
paced,282,0,291,220,0,150,611,40.076006,,,,,,,,,0
paced,283,0,278,220,0,150,-1253,40.291868,2.648,150,-1253,0,1,0,2,17,1
paced,284,0,415,220,0,150,1575,40.294563,,,,,,,,,0
paced,285,0,433,220,0,150,-191,40.497486,,,,,,,,,0
paced,286,0,727,220,0,150,-178,40.700524,,,,,,,,,0
paced,287,0,326,220,0,150,688,40.905189,2.232,150,688,0,1,0,2,17,1
paced,288,0,241,220,0,150,-864,40.907579,,,,,,,,,0
paced,289,0,647,220,0,150,-1790,41.109429,,,,,,,,,0
paced,290,0,331,220,0,150,345,41.313126,2.283,150,345,0,1,0,2,17,1
paced,291,0,474,220,0,150,231,41.315445,2.201,150,231,0,0,0,2,17,1
paced,292,0,598,220,0,150,991,41.317675,,,,,,,,,0
paced,293,0,381,220,0,150,-844,41.530608,,,,,,,,,0
paced,294,0,470,220,0,150,207,41.734802,,,,,,,,,0
paced,295,0,640,220,0,150,-899,41.936372,2.606,150,-899,0,0,0,2,17,1
paced,296,0,572,220,0,150,-440,41.939039,,,,,,,,,0
paced,297,0,723,220,0,150,683,42.152344,,,,,,,,,0
paced,298,0,431,220,0,150,827,42.355970,,,,,,,,,0
paced,299,0,374,220,0,150,-1623,42.560156,,,,,,,,,0
paced,300,0,223,220,0,150,1306,42.762507,,,,,,,,,0
paced,301,0,673,220,0,150,823,42.968474,,,,,,,,,0
paced,302,0,527,220,0,150,-1167,43.184916,,,,,,,,,0
paced,303,0,673,220,0,150,1317,43.385936,2.891,150,1317,0,0,0,2,17,1
paced,304,0,358,220,0,150,-543,43.388887,,,,,,,,,0
paced,305,0,455,220,0,150,1016,43.604638,,,,,,,,,0
paced,306,0,456,220,0,150,1657,43.806786,,,,,,,,,0
paced,307,0,715,220,0,150,-298,44.009310,2.370,150,-298,0,0,0,2,17,1
paced,308,0,319,220,0,150,1052,44.011744,,,,,,,,,0
paced,309,0,625,220,0,150,615,44.228334,3.394,150,615,0,0,0,2,17,1
paced,310,0,237,220,0,150,1687,44.231818,,,,,,,,,0
paced,311,0,276,220,0,150,662,44.446194,2.510,150,662,0,1,0,2,17,1
paced,312,0,676,220,0,150,519,44.448752,,,,,,,,,0
paced,313,0,536,220,0,150,-1098,44.649354,,,,,,,,,0
paced,314,0,309,220,0,150,-794,44.850654,,,,,,,,,0
paced,315,0,586,220,0,150,-929,45.054353,2.470,150,-929,0,0,0,2,17,1
paced,316,0,733,220,0,150,1127,45.056866,,,,,,,,,0
paced,317,0,203,220,0,150,207,45.272987,2.676,150,207,0,1,0,2,17,1
paced,318,0,553,220,0,150,1117,45.275732,,,,,,,,,0
paced,319,0,506,220,0,150,-248,45.490687,,,,,,,,,0
paced,320,0,677,220,0,150,1643,45.694001,,,,,,,,,0
