step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
128,1790085531179165952,12.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
129,1790085531279165952,12.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
130,1790085531379165952,13.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
131,1790085531479165952,13.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
132,1790085531579165952,13.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
133,1790085531679165952,13.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
134,1790085531779165952,13.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
135,1790085531879165952,13.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
136,1790085531979165952,13.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
137,1790085532079165952,13.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
138,1790085532179165952,13.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
139,1790085532279165952,13.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
140,1790085532379165952,14.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
141,1790085532479165952,14.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
142,1790085532579165952,14.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
143,1790085532679165952,14.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
144,1790085532779165952,14.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
145,1790085532879165952,14.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
146,1790085532979165952,14.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
147,1790085533079165952,14.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
148,1790085533179165952,14.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
149,1790085533279165952,14.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
150,1790085533379165952,15.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
151,1790085533479165952,15.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
152,1790085533579165952,15.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
153,1790085533679165952,15.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
154,1790085533779165952,15.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
155,1790085533879165952,15.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
156,1790085533979165952,15.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
157,1790085534079165952,15.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
158,1790085534179165952,15.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
159,1790085534279165952,15.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
160,1790085534379165952,16.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
161,1790085534479165952,16.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
162,1790085534579165952,16.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
163,1790085534679165952,16.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
164,1790085534779165952,16.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
165,1790085534879165952,16.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
166,1790085534979165952,16.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
167,1790085535079165952,16.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
168,1790085535179165952,16.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
169,1790085535279165952,16.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
170,1790085535379165952,17.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
171,1790085535479165952,17.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
172,1790085535579165952,17.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
173,1790085535679165952,17.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
174,1790085535779165952,17.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
175,1790085535879165952,17.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
176,1790085535979165952,17.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
177,1790085536079165952,17.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
178,1790085536179165952,17.8,2,0,192,0,53.83,53.83,53.83,0.0,1,,,,,0,,0,,,,,,,,,0,0,
179,1790085536279165952,17.9,4,0,384,0,53.09,53.83,53.83,2.435,1,,,,,0,,0,,,,,,,,,0,0,
180,1790085536379165952,18.0,6,2,576,192,50.037,53.83,53.83,2.168,1,52.979,52.979,52.979,0.0,1,3.0,2,203.269,202.844,203.695,,,,,,0,0,
181,1790085536479165952,18.1,8,4,768,384,50.037,53.09,53.83,1.621,1,52.979,53.459,53.459,2.408,1,2.0,4,202.884,202.554,203.695,,,,,,0,0,
182,1790085536579165952,18.2,10,6,960,576,50.037,53.09,53.83,1.351,1,49.936,53.459,53.459,2.108,1,1.6667,6,202.884,202.554,203.695,,,,,,0,0,
183,1790085536679165952,18.3,12,8,1152,768,50.037,53.09,53.83,1.266,1,49.983,52.979,53.459,1.559,1,1.5,8,202.857,202.554,203.695,,,,,,0,0,
184,1790085536779165952,18.4,14,10,1344,960,50.037,53.09,53.83,1.186,1,49.936,52.979,53.459,1.337,1,1.4,10,202.833,201.881,203.695,,,,,,0,0,
185,1790085536879165952,18.5,16,12,1536,1152,50.037,53.09,53.83,1.152,1,49.936,52.979,53.459,1.344,1,1.3333,12,202.822,201.859,203.695,,,,,,0,0,
186,1790085536979165952,18.6,18,14,1744,1344,50.037,51.511,53.83,1.046,1,49.936,52.979,53.459,1.259,1,1.2976,14,202.822,201.859,203.695,,,,,,0,0,
